sent1,sent2,label,logits
sent1,sent2,label,logits
中华全国工商业联合会的职能是什么,中华全国工商业联合会的职能是什么,1,5.546314239501953
中华全国工商业联合会的职能是什么,武汉市工商联依托商会做出了哪些努力,1,3.4900941848754883
中华全国工商业联合会的职能是什么,工商联坚持什么样的责任担当,1,2.6970865726470947
中华全国工商业联合会的职能是什么,什么是协举,1,2.2510547637939453
中华全国工商业联合会的职能是什么,什么是协举,1,2.2510547637939453
中华全国工商业联合会的职能是什么,高捷村什么样的形式深入查找后进村（社区）出现的各种矛盾问题,0,4.66365909576416
中华全国工商业联合会的职能是什么,不忘初心、牢记使命主题教育通过什么方式把党的自我革命不断引向深入,0,4.65977144241333
中华全国工商业联合会的职能是什么,区财政对哪些村干部发放生活补贴,0,4.638016700744629
中华全国工商业联合会的职能是什么,村里流转的土地都承包给了谁种植草莓、毛豆、西蓝花、苗木等,0,4.6193437576293945
中华全国工商业联合会的职能是什么,干部弄虚作假获取学历或者学位的，应当怎么处理,0,4.612488746643066
共有87个问题分类为1


sent1,sent2,label,logits
什么是人民军队,人民军队始终是什么样的英雄军队,1,4.207077026367188
什么是人民军队,什么是基层官兵,1,3.905524730682373
什么是人民军队,什么是人民军队,1,3.850565433502197
什么是人民军队,什么是军的优秀部队,1,3.668694734573364
什么是人民军队,人民军队的发展史是什么,1,3.471217632293701
什么是人民军队,干部弄虚作假获取学历或者学位的，应当怎么处理,0,4.56251335144043
什么是人民军队,刘洪书记落实项目选址和土地流转有什么用处,0,4.469985008239746
什么是人民军队,海南省实行政务监督平台对农村干部提出了怎样的要求,0,4.459100246429443
什么是人民军队,高捷村什么样的形式深入查找后进村（社区）出现的各种矛盾问题,0,4.393303871154785
什么是人民军队,学校产业园区非公企业党组织覆盖率是多少,0,4.372633934020996
共有355个问题分类为1


sent1,sent2,label,logits
北横ii标讲了哪些重点所在,北横ii标讲了哪些重点所在,1,5.804667472839356
北横ii标讲了哪些重点所在,注重哪些方面的注重点,1,2.866076946258545
北横ii标讲了哪些重点所在,高雄展览馆增设了哪些亮点,1,2.7756884098052983
北横ii标讲了哪些重点所在,三横三纵的组织架构是怎样的,1,2.770932912826538
北横ii标讲了哪些重点所在,点有哪些,1,2.5634479522705083
北横ii标讲了哪些重点所在,优秀村党组织书记退职到龄后参照享受什么样的待遇,0,4.786535263061523
北横ii标讲了哪些重点所在,干部弄虚作假获取学历或者学位的，应当怎么处理,0,4.780170917510986
北横ii标讲了哪些重点所在,对基层党组织书记围绕工作开展理论实践研究提供经费支持的目的是什么,0,4.718522071838379
北横ii标讲了哪些重点所在,在职党员走进社区让百姓尝到了甜头，是因为什么,0,4.703556537628174
北横ii标讲了哪些重点所在,军队离休退休干部按照什么条定享受社会优待,0,4.700634479522705
共有174个问题分类为1


sent1,sent2,label,logits
江学庆和病人一聊的事情是什么,江学庆和病人一聊的事情是什么,1,5.705979347229004
江学庆和病人一聊的事情是什么,江学庆是怎么劝说江学庆进行治疗科目的,1,5.329143047332764
江学庆和病人一聊的事情是什么,江学庆关心一些新来的同事怎么看,1,4.324280738830566
江学庆和病人一聊的事情是什么,江学庆在科室内制定了什么样的行为规范,1,3.77756404876709
江学庆和病人一聊的事情是什么,江学庆鼓励他们：专科下面还有很多的亚专科，什么样的,1,3.257559537887573
江学庆和病人一聊的事情是什么,从什么时候起茂名全面推进镇街干部驻点普遍直接联系群众工作,0,4.822179794311523
江学庆和病人一聊的事情是什么,军队离休退休干部按照什么条定享受社会优待,0,4.800427436828613
江学庆和病人一聊的事情是什么,海南省实行政务监督平台对农村干部提出了怎样的要求,0,4.784492492675781
江学庆和病人一聊的事情是什么,联勤联动巡逻队重点整治了哪些问题,0,4.763835906982422
江学庆和病人一聊的事情是什么,选优配强村书记有哪些优势,0,4.749703407287598
共有22个问题分类为1


sent1,sent2,label,logits
草根春晚引来了多少人的网络围观,草根春晚引来了多少人的网络围观,1,5.932426929473878
草根春晚引来了多少人的网络围观,该节目是怎样的一个节日,1,1.8950232267379759
草根春晚引来了多少人的网络围观,教育部举办的学校有多少人参加了活动,1,1.8540483713150024
草根春晚引来了多少人的网络围观,说事室共接待群众多少人次,1,1.661651611328125
草根春晚引来了多少人的网络围观,2013年参评人数达多少人,1,1.5702364444732666
草根春晚引来了多少人的网络围观,刘洪书记落实项目选址和土地流转有什么用处,0,4.748666763305664
草根春晚引来了多少人的网络围观,干部弄虚作假获取学历或者学位的，应当怎么处理,0,4.697674751281738
草根春晚引来了多少人的网络围观,从什么时候起茂名全面推进镇街干部驻点普遍直接联系群众工作,0,4.682159423828125
草根春晚引来了多少人的网络围观,优秀村党组织书记退职到龄后参照享受什么样的待遇,0,4.659260749816895
草根春晚引来了多少人的网络围观,推进党建和业务融合，有什么意义,0,4.658785820007324
共有34个问题分类为1


sent1,sent2,label,logits
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,青岛市城阳区城阳街道顺德居社区党总支试点打造什么,1,5.648264408111572
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,去年，顺德居社区党总支通过什么方式，和社区在册党员一对一交流沟通沟通，全方位收集党员意见建议,1,3.1912474632263184
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,2019年4月，由19个党支部共同组成的什么联盟,1,2.244864225387573
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,2011年10月以来，青岛江路街道办事处分别有什么成就,1,1.8022325038909912
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,围绕社区在社会组织分类建，依托社区党组织，在尚不具备建立党组织条件的社会组织中，实行什么,1,1.7943909168243408
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,纪检监察工委对移送的案件有何履行,0,5.049550533294678
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,干部弄虚作假获取学历或者学位的，应当怎么处理,0,5.038198947906494
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,聘任工作中徇私舞弊的人员是否具有,0,4.9833807945251465
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,报考调研员职位的年龄是多少,0,4.962456703186035
青岛市城阳区城阳街道顺德居社区党总支试点打造什么,各部门对机构设置和编制管理情况的报告人员有何限制,0,4.958605766296387
共有94个问题分类为1


sent1,sent2,label,logits
人才创新创业需要多少个过程,人才创新创业需要多少个过程,1,5.459453105926514
人才创新创业需要多少个过程,在人才培养期，怎样才能进行人才,1,3.34244704246521
人才创新创业需要多少个过程,怎样使用人才,1,2.8554084300994877
人才创新创业需要多少个过程,怎样使用人才,1,2.8554084300994877
人才创新创业需要多少个过程,人才创新机制有什么作用,1,2.8520319461822514
人才创新创业需要多少个过程,武警广东总队韶关市支队党委一班人在阳光下掌好权、用好权的新气象，获得什么荣誉,0,4.838879585266113
人才创新创业需要多少个过程,战区党委为什么要要求各级领导干部勇于发扬自我革命精神,0,4.818708896636963
人才创新创业需要多少个过程,中央纪委向中央一级党和国家机关派驻纪检机构的要求是什么,0,4.785538673400879
人才创新创业需要多少个过程,从什么时候起茂名全面推进镇街干部驻点普遍直接联系群众工作,0,4.768501281738281
人才创新创业需要多少个过程,对拒绝移交或无故拖延移交的，村党组织和乡级党委应给予什么教育,0,4.759922504425049
共有143个问题分类为1


sent1,sent2,label,logits
朱佛定的法律是什么,朱佛定的法律是什么,1,5.369223117828369
朱佛定的法律是什么,朱佛定是谁的学生,1,5.277715682983398
朱佛定的法律是什么,朱佛定的笔记本上是怎样写的,1,4.86566162109375
朱佛定的法律是什么,朱佛定的军事观点有什么,1,4.763083457946777
朱佛定的法律是什么,朱佛定的主要成就是什么,1,4.690160751342773
朱佛定的法律是什么,宁城县万亩设施农业园区、赤峰和润农业公司等推行产业化融合发展模式有什么好处,0,4.8575782775878915
朱佛定的法律是什么,中央及省州市深化农村改革的各项政策，继续完善了哪些有利于地方的发展,0,4.748835563659668
朱佛定的法律是什么,海南省实行政务监督平台对农村干部提出了怎样的要求,0,4.748692035675049
朱佛定的法律是什么,水产畜牧兽医局在开展党的群众路线实践活动回头看工作中，把干部插手项目工程、侵占惠民惠农资金列为什么,0,4.7380332946777335
朱佛定的法律是什么,中国光大集团股份公司在开展主题教育中有何作用,0,4.735662937164307
共有206个问题分类为1


sent1,sent2,label,logits
功能型党支部有什么作用,功能型党支部有什么作用,1,5.35317850112915
功能型党支部有什么作用,在各类基层单位中，党支部有什么作用,1,4.446632385253906
功能型党支部有什么作用,临时党支部党员突击队正是什么样的作用,1,4.092509746551514
功能型党支部有什么作用,企业党支部的发展现状,1,4.027195930480957
功能型党支部有什么作用,小区党支部建立的影响,1,3.9210498332977295
功能型党支部有什么作用,何岑是怎样从沿海城市务工返乡后开始创业的,0,4.815955638885498
功能型党支部有什么作用,中国嘉兴供电公司的援藏帮扶组负责人是谁,0,4.725542068481445
功能型党支部有什么作用,雄安居住区体验室位于何地,0,4.72307014465332
功能型党支部有什么作用,参加了南芬区创业孵化基地组织的手工编织培训班的收入是多少,0,4.71148157119751
功能型党支部有什么作用,村里流转的土地都承包给了谁种植草莓、毛豆、西蓝花、苗木等,0,4.707705020904541
共有679个问题分类为1


